Designator,Mid X,Mid Y,Rotation,Layer
C1,150.363,-88.361,90.0,top
C2,154.279,-93.0405,90.0,top
C3,150.169,-95.8925,90.0,top
C4,148.652,-97.03,90.0,top
C5,182.0325,-90.6025,0.0,top
C6,185.3025,-90.9325,90.0,top
C7,186.86,-90.94,90.0,top
D1,144.618,-95.071,270.0,top
D2,161.64,-97.677,270.0,top
D3,191.42,-90.8725,90.0,top
J1,184.4675,-78.52,0.0,top
J2,141.209,-98.0,90.0,bottom
J3,189.091,-98.0,90.0,bottom
J4,165.0,-80.2,180.0,top
L1,158.1565,-92.194,270.0,top
Q1,142.425,-82.084,0.0,top
R1,148.8165,-88.358,270.0,top
R2,152.283,-97.291,180.0,top
R3,152.281,-95.731,180.0,top
R4,140.495,-93.396,180.0,top
R5,160.07,-97.677,90.0,top
R6,189.83,-90.87,270.0,top
R7,148.816,-84.983,270.0,top
U1,151.409,-92.5005,90.0,top
U2,182.4425,-93.11,180.0,top
